iter	Passed	Remaining
0	172	172698
1	176	88060
2	179	59650
3	182	45365
4	185	36822
5	187	31121
6	190	27066
7	193	23997
8	196	21671
9	199	19785
10	202	18224
11	205	16920
12	207	15745
13	210	14816
14	213	14013
15	216	13287
16	219	12684
17	221	12084
18	223	11541
19	226	11088
20	229	10693
21	231	10308
22	234	9968
23	236	9635
24	239	9357
25	242	9095
26	245	8858
27	248	8624
28	251	8416
29	253	8184
30	255	7990
31	258	7823
32	261	7664
33	266	7582
34	269	7420
35	271	7266
36	273	7112
37	277	7024
38	281	6940
39	283	6813
40	286	6709
41	290	6618
42	293	6529
43	296	6432
44	298	6343
45	301	6262
46	304	6182
47	307	6098
48	310	6020
49	312	5936
50	315	5862
51	317	5793
52	321	5735
53	323	5673
54	326	5609
55	328	5542
56	331	5484
57	334	5433
58	337	5375
59	339	5317
60	342	5265
61	344	5218
62	346	5153
63	348	5091
64	350	5046
65	353	5006
66	356	4964
67	358	4906
68	361	4881
69	363	4834
70	367	4811
71	371	4782
72	374	4759
73	378	4732
74	381	4707
75	385	4686
76	388	4662
77	392	4644
78	395	4615
79	398	4587
80	402	4568
81	405	4541
82	408	4514
83	411	4488
84	414	4461
85	418	4450
86	422	4438
87	427	4425
88	430	4401
89	432	4376
90	435	4353
91	438	4329
92	441	4310
93	444	4287
94	448	4270
95	451	4253
96	454	4232
97	457	4213
98	460	4193
99	461	4157
100	464	4130
101	466	4111
102	470	4095
103	473	4082
104	475	4057
105	477	4031
106	479	4000
107	482	3982
108	484	3962
109	487	3947
110	490	3928
111	492	3908
112	495	3891
113	498	3877
114	504	3882
115	507	3864
116	509	3847
117	512	3829
118	514	3811
119	517	3793
120	519	3776
121	522	3758
122	527	3762
123	529	3738
124	532	3726
125	535	3715
126	537	3696
127	539	3678
128	542	3664
129	545	3650
130	549	3643
131	553	3640
132	556	3627
133	559	3613
134	561	3599
135	565	3591
136	567	3574
137	569	3557
138	572	3546
139	575	3533
140	578	3522
141	581	3512
142	583	3498
143	586	3487
144	589	3476
145	592	3463
146	594	3448
147	596	3432
148	598	3419
149	601	3408
150	604	3397
151	605	3378
152	608	3367
153	610	3351
154	612	3341
155	615	3330
156	617	3317
157	620	3307
158	623	3298
159	626	3288
160	629	3279
161	631	3268
162	633	3254
163	636	3245
164	639	3235
165	641	3225
166	645	3217
167	647	3207
168	650	3198
169	652	3187
170	655	3179
171	658	3171
172	661	3161
173	664	3152
174	666	3143
175	669	3132
176	671	3123
177	674	3116
178	677	3109
179	680	3101
180	683	3093
181	685	3082
182	688	3074
183	691	3065
184	693	3057
185	696	3048
186	698	3038
187	701	3030
188	704	3021
189	707	3014
190	709	3006
191	712	2999
192	714	2989
193	717	2982
194	720	2973
195	723	2966
196	726	2960
197	728	2951
198	731	2945
199	734	2937
200	736	2929
201	739	2921
202	742	2913
203	744	2906
204	747	2899
205	750	2893
206	753	2885
207	757	2882
208	761	2880
209	765	2880
210	769	2878
211	773	2873
212	775	2866
213	778	2860
214	781	2852
215	784	2846
216	786	2839
217	789	2831
218	791	2822
219	793	2814
220	796	2808
221	799	2802
222	802	2795
223	804	2788
